"nro","alfa","v"
44,2.29,8.43
44,2.99,8.51
44,5.26,8.63
44,6.7,8.71
44,7.18,8.73
44,10.86,8.83
44,11.29,8.85
44,13.54,8.98
44,14.4,9.12
44,14.7,9.08
44,14.89,9.08
44,14.98,9.07
44,15.58,9.1
44,16.26,9
44,17.32,9.05
44,17.57,9.01
44,17.86,8.99
44,18.09,9.19
44,20.48,9.27
44,27.13,9.28
44,27.19,9.28
82,0.2,7.88
82,0.56,7.97
82,0.96,8.04
82,1.36,8.09
82,2.58,8.19
82,7.46,8.46
82,7.82,8.48
82,9.14,8.49
82,9.86,8.52
82,10.2,8.54
82,10.22,8.52
82,11.78,8.57
82,12.09,8.58
82,13.18,8.63
82,16.22,16.87
82,16.25,16.9
82,16.45,17.1
82,17.1,17.75
82,17.18,17.82
82,17.68,18.33
82,18.66,19.31
82,19.74,20.39
