nro,alfa,v
8,17.1974,7.293025271705552
8,22.4545,7.43500933047369
8,23.307,7.4790536916787715
8,24.5162,7.396684835174542
8,24.6549,7.321788445946957
8,24.7089,7.355578901050223
8,27.6132,7.489650683404676
8,28.1812,7.418859216531294
14,15.387,7.262762633721936
14,18.5786,7.410693794116034
14,18.6264,7.306161341691732
14,18.7068,7.273961337254749
14,19.2457,7.378093098729588
14,19.6412,7.380858725689782
14,19.7268,7.353228891420929
14,20.0013,7.363287544394392
14,20.3735,7.418576475664404
17,19.2165,9.043049276272479
17,19.5773,8.626872613426347
17,19.7341,8.581183706608291
17,21.5773,9.164231203861886
17,22.5748,9.099951893619401
17,25.6792,8.701525775479801
17,27.3781,8.83839409007912
19,18.8222,8.035883047156116
19,19.0154,8.1592334298315
19,19.3625,8.231559625698962
19,19.7181,8.18105820478517
19,20.4682,8.116507509130022
19,20.5632,8.356278918873144
19,20.6727,8.173957410135866
19,21.2465,8.191370826144574
19,24.4935,8.374933565073414
21,16.7006,8.182833571085217
21,28.2198,8.717606559365318
21,28.5221,8.792620360483712
24,11.766,7.812951847561116
24,12.7668,7.905464365932659
24,12.9033,7.937606624468862
24,14.1425,7.918944737728424
24,14.2048,7.9021680595319
24,14.3662,7.970733965539438
24,16.3204,8.041384391230222
24,16.6668,8.01988497714625
24,17.5078,8.13692578496612
24,17.7905,8.050197574491401
26,14.1505,8.243704444241136
26,14.429,8.138366305188102
26,14.4309,8.192077359960091
26,14.5865,8.096716776238711
26,14.7408,8.232585398736296
26,14.8937,8.16920702639281
26,15.0453,8.23610964804199
26,15.4792,8.267479843210577
26,16.9183,8.341872182884803
26,17.0508,8.353629184487662
26,19.2076,8.398914871022448
26,19.6708,8.354650687462751
26,19.8389,8.300658028988423
26,20.6828,8.366110523521915
26,20.7772,8.546522476838172
26,21.6218,8.606211597900437
